"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Automatic Beatmap Generating Rhythm Game Using Music Information Retrieval with Machine Learning for Genre Detection","E. A. L. Estolas; A. F. V. Malimban; J. T. Nicasio; J. S. Rivera; M. F. D. S. Pablo; T. L. Takahashi",FEU Institute of Technology; FEU Institute of Technology; FEU Institute of Technology; FEU Institute of Technology; FEU Institute of Technology; FEU Institute of Technology,"2020 IEEE 12th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)","16 Apr 2021","2020","","","1","6","The study is aimed to develop an Automatic Beatmap with Genre Detection, called “Efflorescence”, a mobile application which can generate a rhythm game for people who would like to improve their reflexive functions. This study also provides different music genres that will be detected during the generation process so that users are able to distinguish different types of music among the songs they have chosen and/or uploaded to play. The researchers also aim in determining known music genres and its alternatives, and to be able to generate non-fixed beat maps to give the users a little challenge than most rhythm games produced. For the researchers to create the application, the following algorithms were used: Music Information Retrieval, Onset Detection, Tempo Detection, and Machine Learning. To prove that the application is feasible, the researchers conducted a survey among 50 respondents, all composed of FEU Institute of Technology CS and IT. The respondents rated the application average of being able to produce the result they wanted towards the game. The system can be further improved by future researchers through updating the system by putting up more functions and data required for the genre detection. It is also recommended that future researchers would apply it on different other platforms that were not and to lessen the specifications of the hardware itself. Lastly, future researchers can add more interactive features to make the game more challenging yet fun at the same time.","","978-1-6654-1971-0","10.1109/HNICEM51456.2020.9400133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9400133","game design;rhythm game;Music Information Retrieval;Onset Detection;Automatic Audio Segmentation;Tempo Extraction;Procedural Content Generation","Machine learning algorithms;Games;Rhythm;Software;Software reliability;Music information retrieval;Usability","","3","","41","IEEE","16 Apr 2021","3-7 Dec. 2020","3-7 Dec. 2020","IEEE","IEEE Conferences"
"Query by Humming Music Information Retrieval using DNN-LSTM based Melody Extraction and Noise Filtration","A. N. Dwi Triastanto; R. Mandala","School of Electrical Engineering and Informatics U-CoE AI-VLB Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics U-CoE AI-VLB Institut Teknologi Bandung, Bandung, Indonesia",2022 5th International Conference on Information and Communications Technology (ICOIACT),"12 Dec 2022","2022","","","503","508","Search engine technology has become a daily necessity. In terms of music search, the most effective and natural way to perform music search is to hum the song or so-called query by humming. In an experiment to improve the performance of a query by humming system, there are two things that can be done, namely using better melody extraction technique and noise filtration. Better melody extraction technique is needed so that the representation of the melody obtained from the query reflects more on the change of pitch while noise filtration is needed so that this system can work well in the real world where the queries tend to have natural noise. This research will try to implement the technique of DNN-LSTM based melody extraction and noise filtration with Fourier series decomposition and spectral subtraction in query by humming system. The system built will be compared with a query by humming system that uses melody extraction with PRAAT and without noise filtration. The results of this study indicate that the performance of the system that uses melody extraction with PRAAT and without noise filtration is still better in terms of the mean reciprocal rank value, top 1/3/5/10 hit ratio, and the required processing time.","2770-4661","978-1-6654-5140-6","10.1109/ICOIACT55506.2022.9972121","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9972121","melody extraction;music information retrieval;noise filtration;query by humming","Filtration;Search engines;Information and communication technology;Data mining;Fourier series;Music information retrieval","","2","","20","IEEE","12 Dec 2022","24-25 Aug. 2022","24-25 Aug. 2022","IEEE","IEEE Conferences"
"Musical Beat Recognition using Machine Learning","N. Kumar; N. Yadav; S. Shhukla; N. Singhal; B. Kumar","Department of Electronics and Communication Engineering, Indian Institute of Information Technology, Bhopal, India; Department of Electronics and Communication Engineering, Indian Institute of Information Technology, Bhopal, India; Department of Electronics and Communication Engineering, Indian Institute of Information Technology, Bhopal, India; Department of Mathematics, Indian Institute of Information Technology, Bhopal, India; Department of Electronics and Communication Engineering, Koneru Lakshmaiah Education Foundation, Hyderabad, India",2025 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation (IATMSI),"9 May 2025","2025","3","","1","5","In today's digital landscape, the majority of activities have transitioned to digital platforms. Music, as a widely cherished form of art, is both learned and taught by numerous individuals, leading to a surge in interest in music information retrieval (MIR) and its applications, fueled by advancements in machine learning technology. While applications like genre recognition, song identification, automatic score generation, and music transcription have seen significant development, there remains a gap in research concerning musical instrument identification. This paper presents a novel approach employing machine learning models in conjunction with Mel-frequency-cepstral-coefficients to extract audio features from raw datasets directly. The study utilizes a dataset comprising 600 audio files encompassing sound samples from six distinct instruments for training and instrument prediction purposes.","","979-8-3315-2169-1","10.1109/IATMSI64286.2025.10984604","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10984604","Mel frequency cepstral coefficient;Machine learning;Musical instrument identification;Music information retrieval","Training;Technological innovation;Instruments;Music;Machine learning;Nearest neighbor methods;Feature extraction;Music information retrieval;Surges;Mel frequency cepstral coefficient","","","","15","IEEE","9 May 2025","6-8 March 2025","6-8 March 2025","IEEE","IEEE Conferences"
"Transcription of Audio to MIDI Using Deep Learning","P. J. Donnelly; V. Ebert","Department of Computer Science, Oregon State University, Corvallis, OR, United States; Department of Computer Science, Oregon State University, Corvallis, OR, United States",2022 7th International Conference on Frontiers of Signal Processing (ICFSP),"28 Oct 2022","2022","","","130","135","We investigate automatic transcription of polyphonic piano music with recurrent neural networks directly from raw audio. Previous approaches to this task rely on spectrograms or other features extracted for training, which requires timely pre-processing. In our approach, we train directly on sequences of 64 milliseconds of samples from the waveform. We evaluate our models on the MAESTRO dataset and achieve promising levels of pitch and onset accuracy but difficulty detecting the correct offset of the notes. Our approach also enables learning the note pitches and velocities at the same time. Together these results demonstrate the potential of relatively simple deep learning architectures to learn music transcription directly from raw audio.","","978-1-6654-8158-8","10.1109/ICFSP55781.2022.9924773","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9924773","automatic music transcription deep learning;long short-term memory;music information retrieval;raw audio","Training;Recurrent neural networks;Feature extraction;Multiple signal classification;Task analysis;Music information retrieval;Spectrogram","","","","22","IEEE","28 Oct 2022","7-9 Sept. 2022","7-9 Sept. 2022","IEEE","IEEE Conferences"
"Expanding Automatic Music Transcription Dataset via Single Note Audio Synthesized Data","Y. Yuan; K. Ota; M. Dong","Department of Sciences and Informatics, Muroran Institute of Technology, Muroran, Japan; Department of Sciences and Informatics, Muroran Institute of Technology, Muroran, Japan; Department of Sciences and Informatics, Muroran Institute of Technology, Muroran, Japan",2025 IEEE International Conference on High Performance Computing and Communications (HPCC),"31 Oct 2025","2025","","","121","127","Music Information Retrieval (MIR) is an important field in music data mining while Automatic Music Transcription (AMT) is a fundamental task in MIR, playing a crucial role in enabling various downstream applications. A key challenge in AMT is the lack of pairing between music data and symbolic labels, as these two types of information often exist independently, rendering them unusable for model training. Current AMT models often struggle with poor generalization, limiting their effectiveness in transcribing music beyond the datasets they were trained on. Furthermore, existing AMT datasets suffer from data imbalance, with most research efforts focused on highresource instruments, neglecting the transcription challenges associated with low-resource instruments. To address these issues, we propose a novel approach based on single note audio synthesis, which enables AMT model training using only MIDI files. Our method not only overcomes the reliance on paired music data and symbolic labels but also introduces timbre expansion, increasing the diversity and volume of training data. This significantly enhances the zero-shot capabilities of AMT models. Additionally, our approach demonstrates strong potential for instrument transfer, breaking the data barriers between different instruments and providing critical support for low-resource instrument training. Experimental results show that our method significantly improves zero-shot performance and enables effective instrument transfer, leading to enhanced transcription accuracy for low-resource instruments.","","979-8-3315-6874-0","10.1109/HPCC67675.2025.00035","PRESTO(grant numbers:JPMJPR21P3); China Scholarship Council(grant numbers:202208890041); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11207490","Music Information Retrieval;Automatic Music Transcription;Synthesized Music;Dataset Expansion;Instrument Transfer","Training;Accuracy;Limiting;Instruments;Computational modeling;Training data;Rendering (computer graphics);Data models;Timbre;Music information retrieval","","","","38","IEEE","31 Oct 2025","13-15 Aug. 2025","13-15 Aug. 2025","IEEE","IEEE Conferences"
"YourMT3+: Multi-Instrument Music Transcription with Enhanced Transformer Architectures and Cross-Dataset STEM Augmentation","S. Chang; E. Benetos; H. Kirchhoff; S. Dixon","Centre for Digital Music, Queen Mary University of London; Centre for Digital Music, Queen Mary University of London; Huawei; Centre for Digital Music, Queen Mary University of London",2024 IEEE 34th International Workshop on Machine Learning for Signal Processing (MLSP),"4 Nov 2024","2024","","","1","6","Multi-instrument music transcription aims to convert polyphonic music recordings into musical scores assigned to each instrument. This task is challenging for modeling as it requires simultaneously identifying multiple instruments and transcribing their pitch and precise timing, and the lack of fully annotated data adds to the training difficulties. This paper introduces Y ourMT3+, a suite of models for enhanced multi-instrument music transcription based on the recent language token decoding approach of MT3. We enhance its encoder by adopting a hierarchical attention transformer in the time-frequency domain and integrating a mixture of experts. To address data limitations, we introduce a new multi-channel decoding method for training with incomplete annotations and propose intra- and cross-stem augmentation for dataset mixing. Our experiments demonstrate direct vocal transcription capabilities, eliminating the need for voice separation pre-processors. Benchmarks across ten public datasets show our models' competitiveness with, or superiority to, existing transcription models. Further testing on pop music recordings highlights the limitations of current models. Fully reproducible code and datasets are available with demos at https://github.com/mimbres/YourMT3.","2161-0371","979-8-3503-7225-0","10.1109/MLSP58920.2024.10734819","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10734819","Multi-instrument;automatic music transcription (AMT);music information retrieval (MIR);transformers;data aug-mentation;mixture of experts (MoE);music tokens","Training;Time-frequency analysis;Instruments;Music;Machine learning;Transformers;Recording;Multiple signal classification;Decoding;Timing","","8","","33","IEEE","4 Nov 2024","22-25 Sept. 2024","22-25 Sept. 2024","IEEE","IEEE Conferences"
"Exploring the Use of Virtual Reality and AI to Create Immersive, Interactive Music Experiences for Performance, Education, and Therapy","J. Zhao; K. Cheng","College of Music, Shangqiu Normal University, Shangqiu, China; Institute of Marxism, Shangqiu Normal University, Shangqiu, China",IEEE Access,"8 Aug 2025","2025","13","","136768","136778","This study investigates the synchronization of real-time music generation with visual elements in Virtual Reality (VR) environments, leveraging Artificial Intelligence (AI) to create immersive, interactive music experiences for performance, education, and therapy. By leveraging deep learning techniques, specifically Recurrent Neural Networks (RNNs) and Long Short-Term Memory (LSTM) networks, the study investigates real-time music generation and synchronization with VR environments. The optimization of music-visual alignment was achieved through Genetic Algorithms (GAs), enhancing the overall coherence and responsiveness of the system. Key findings include significant improvements in user engagement, learning outcomes, and audience satisfaction in educational and performance contexts. The system achieved a high degree of musical coherence, with sequence prediction accuracy of 92.3% and sub-50ms latency, providing a seamless VR music experience. Case studies focused on interactive music education, immersive performance, and personalized music therapy demonstrated the system’s potential in diverse settings, with improvements in user retention, stress reduction, and overall satisfaction. This study highlights the transformative potential of combining VR and AI in music, paving the way for innovative applications in music education, performance, and therapy. The findings offer a foundation for future research and development in immersive music technologies.","2169-3536","","10.1109/ACCESS.2025.3595591","Phased Research Findings of the 2024 Philosophy and Social Sciences Planning Project of Henan Province: “Research on the Integration and Practice of National Music in College Music Teaching from the Perspective of Cultural Confidence”(grant numbers:2024BYS00005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11112588","Virtual reality (VR);artificial intelligence (AI);music education;deep learning;recurrent neural networks (RNNs);long short-term memory (LSTM);genetic algorithms (GAs);real-time music generation;immersive music experiences;music performance and therapy","Education;Real-time systems;Artificial intelligence;Synchronization;Virtual reality;Mathematical models;Long short term memory;Visualization;Solid modeling;Medical treatment","","5","","27","CCBY","4 Aug 2025","2025","","IEEE","IEEE Journals"
"Enhancing Music Genre Classification using Ensemble and Deep Learning Approaches","P. Mohanty; C. Patra; S. S. Bisoyi; B. Panda; G. Sahoo; A. K. Nayak","Dept. of CSIT, ITER, S’O’A(Deemed to be) University, Bhubaneswar, India; Dept. of CSIT, ITER, S’O’A(Deemed to be) University, Bhubaneswar, India; Dept. of CSIT, ITER, S’O’A(Deemed to be) University, Bhubaneswar, India; Dept. of CSE, ITER, S’O’A(Deemed to be) University, Bhubaneswar, India; Dept. of CSE, ITER, S’O’A(Deemed to be) University, Bhubaneswar, India; Dept. of CSIT, ITER, S’O’A(Deemed to be) University, Bhubaneswar, India","2025 2nd International Conference on Circuits, Power and Intelligent Systems (CCPIS)","18 Nov 2025","2025","","","1","6","The proliferation of digital music has generated vast amounts of audio data, necessitating efficient methods for music genre classification. This paper explores the use of machine learning, deep learning, and ensemble approaches to classify music genres based on audio features. From the popular GTZAN dataset, two types of feature datasets are considered, one with original 30-sec and other with segmented 3-sec audio files. Various feature extraction techniques are applied over each audio music files to obtain the mean and variance as feature vectors. We began by examining the performance of different baseline machine learning models, 1-D Convolutional Neural Network(CNN) model followed by various ensemble techniques such as bagging, boosting, stacking and voting. The experimental results indicate that ensemble methods significantly outperform individual models in terms of accuracy, reliability, and generalization. Specifically, voting ensemble model achieves superior performance with an accuracy of 78% and 89% for classifying music genres considering both the original 30-sec and segmented 3-sec datasets.","","979-8-3315-3779-1","10.1109/CCPIS65231.2025.11234179","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11234179","Music Genre Classification;CNN;Bagging;Boosting;Stacking;Voting","Deep learning;Accuracy;Stacking;Feature extraction;Boosting;Vectors;Ensemble learning;Convolutional neural networks;Integrated circuit modeling;Bagging","","","","17","IEEE","18 Nov 2025","5-7 Sept. 2025","5-7 Sept. 2025","IEEE","IEEE Conferences"
"A U-Net Based Architecture for Automatic Music Transcription","M. Scarpiniti; E. Sigismondi; D. Comminiello; A. Uncini","Department of Information Engineering, Electronics and Telecommunications (DIET), Sapienza University of Rome via Eudossiana 18, Rome, Italy; Department of Information Engineering, Electronics and Telecommunications (DIET), Sapienza University of Rome via Eudossiana 18, Rome, Italy; Department of Information Engineering, Electronics and Telecommunications (DIET), Sapienza University of Rome via Eudossiana 18, Rome, Italy; Department of Information Engineering, Electronics and Telecommunications (DIET), Sapienza University of Rome via Eudossiana 18, Rome, Italy",2023 IEEE 33rd International Workshop on Machine Learning for Signal Processing (MLSP),"23 Oct 2023","2023","","","1","6","Automatic Music Transcription (AMT) is a complex matter involving several researchers. Recently, due to the powerful Deep Learning techniques, many effective solutions have been proposed. However, there is still room for improvement. To this purpose, in this paper, we propose an architecture based on two U-Net models exploiting Convolutional Neural Networks (CNNs) and a Bidirectional Long-Short Term Memory (BiLSTM) unit, aiming at improving the wave to MIDI transcription performance. This couple of U-Nets act as onset and offset detectors, respectively, whose information are jointly used along with the input mel spectrogram into a third model to find all the active notes in each time-frame. Some numerical results, obtained on the well known MAPS dataset, show the effectiveness of the proposed idea and the advantages over similar state-of-the-art approaches.","2161-0371","979-8-3503-2411-2","10.1109/MLSP55844.2023.10285985","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10285985","Automatic Music Transcription (AMT);Wave to MIDI;Deep Learning;U-Net;Convolutional Neural Network (CNN)","Deep learning;Training;Time-frequency analysis;Neural networks;Music;Detectors;Numerical models","","","","21","IEEE","23 Oct 2023","17-20 Sept. 2023","17-20 Sept. 2023","IEEE","IEEE Conferences"
"Automatic Music Transcription for the Thai Xylophone played with Soft Mallets","A. Huaysrijan; S. Pongpinigpinyo","Department of Computing, Faculty of Science, Silpakorn University, Nakhon Pathom, Thailand; Department of Computing, Faculty of Science, Silpakorn University, Nakhon Pathom, Thailand",2022 19th International Joint Conference on Computer Science and Software Engineering (JCSSE),"28 Jul 2022","2022","","","1","6","Automatic music transcription (AMT) is the conversion of audio to music notation, which helps with music education, music production, and music creation. The Thai xylophone is a Thai classical music instrument. Commonly, Thai xylophone has two types of mallets, including soft mallets and hard mallets. This paper proposes the study of AMT for Thai xylophone played with soft mallets. We compared feature extraction using Mel-Spectrogram and Mel-Frequency Cepstral Coefficient (MFCC), as well as deep learning using the Onsets and Frames model (OaF), which is the state of the art for AMT. We collected 30 Thai xylophone played with soft mallets songs with music notation as the dataset. The results show that Mel-Spectrogram outperforms MFCC. The experiment shows that Mel-Spectrogram with the OaF model performed the best on the frame detector with 87.04% of F1-Score and the onset detector with 94.35% of F1-Score. We also conduct ablation research.","2642-6579","978-1-6654-8510-4","10.1109/JCSSE54890.2022.9836266","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9836266","component;Automatic music transcription;Thai classical music instrument;Mel-Spectrogram;Mel-Frequency Cepstral Coefficient","Deep learning;Training;Instruments;Detectors;Production;Media;Feature extraction","","3","","21","IEEE","28 Jul 2022","22-25 June 2022","22-25 June 2022","IEEE","IEEE Conferences"
"Automatic Song Genre Classification in Bengali Music: A Comparative Study of Machine Learning and Deep Learning Approaches","A. Humayra; M. M. Kamran Sohag; M. Anwer; M. Hasan","Department of Computer Science and Engineering, Independent University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Independent University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Independent University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Independent University, Dhaka, Bangladesh",2024 4th International Conference on Computer Communication and Artificial Intelligence (CCAI),"31 Jul 2024","2024","","","273","277","Music genre categorization primarily refers to the identification of the type of music. Genre categorization is useful to create and organise our personalised playlist, including enhancing our musical experiences through music suggestions. Currently, for the purpose of categorising the genre of music, various machine learning and deep learning algorithms have been used, but it has been noticed that there is a lack of research in the classification of the BangIa music genre. Despite having some works in this field, the performance of the proposed models are not very efficient. Therefore, in this paper, we have used some leading-edge models of machine learning as well as deep learning to classify the genres of BangIa music. Six different BangIa music genres are represented in the dataset we use. Also, the dataset consists of different important features of music, such as spectral bandwidth, chroma frequency, spectral roll-off, zero crossing value, mfcc, etc. We went through intense data pre-processing, and with the assistance of a diverse range of metrics, the performance of our proposed models were assessed for multi-class classification. Moreover, it is worthy of consideration that our implemented deep neural network achieved an accuracy of about 83.65 percent.","","979-8-3503-6276-3","10.1109/CCAI61966.2024.10603067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10603067","BangIa Music;Genre Classification;SVM;SGD;Machine Learning;Deep Learning;MLP","Deep learning;Measurement;Machine learning algorithms;Accuracy;Music;Bandwidth;Artificial neural networks","","1","","18","IEEE","31 Jul 2024","24-26 May 2024","24-26 May 2024","IEEE","IEEE Conferences"
"Deep Learning-Based Automatic Music Transcription of the Diwdiw-as, a Native Filipino Bamboo Flute","P. J. M. Loresco; M. E. D. Alzaga; C. H. Eyoyo; E. J. Mame; M. R. Peña; R. C. C. Toso","Electronics Engineering, FEU Institute of Technology, Manila, Philippines; Electronics Engineering, FEU Institute of Technology, Manila, Philippines; Electronics Engineering, FEU Institute of Technology, Manila, Philippines; Electronics Engineering, FEU Institute of Technology, Manila, Philippines; Electronics Engineering, FEU Institute of Technology, Manila, Philippines; Electronics Engineering, FEU Institute of Technology, Manila, Philippines","2023 IEEE 15th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)","15 Jul 2024","2023","","","1","6","The transcription of music is essential since it preserves the originality of the music and the compositional technique used by the composers. In this manner, native music can be reproduced, and documents of certain tunes can be passed on to succeeding generations without hearing the original music. A very limited amount of research has been conducted on the application of automation in music transcription using deep learning, particularly in native music instruments. This research is an effort to preserve and conserve Filipino culture in the context of native music and musical instruments particularly the Diwdiw-as, a native Filipino bamboo flute. Using signal processing and deep neural networks, the proposed study aims to automate music transcription. The system is capable of classifying pitches based on the fundamental frequency and is also capable of classifying notes based on their duration. Diwdiw-as pitch can be transcribable to the music sheet using the following pitches: CS, DS, ES, FS, GS, AS, BS, C6, while the note values are whole, eighth, quarter, half, dotted eighth, dotted half, dotted quarter. A web-based application has been developed to assist in the automatic music transcription (AMT) of Diwdiw-as. A pdf file of the transcribed music sheet can then be downloaded. According to the confusion matrices, the system's accuracy is high in terms of the transcription of pitches and notes in the music sheet.","2770-0682","979-8-3503-8117-7","10.1109/HNICEM60674.2023.10589057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10589057","automatic music transcription;deep neural network;diwdiw-as;music instrument;note value;pitch","Deep learning;Automation;Accuracy;Instruments;Music;Signal processing algorithms;Signal processing","","","","25","IEEE","15 Jul 2024","19-23 Nov. 2023","19-23 Nov. 2023","IEEE","IEEE Conferences"
"Real-Time Human-Classified Emotional MIDI Dataset Integration for Symbolic Music Generation","J. A. Kerobo; I. I. Bukvic","Arts, and Technology Virginia Tech, Institute for Creativity, Blacksburg, VA, USA; Arts, and Technology Virginia Tech, Institute for Creativity, Blacksburg, VA, USA",2024 International Conference on Machine Learning and Applications (ICMLA),"4 Mar 2025","2024","","","520","527","This paper explores the interplay between affect and musical engagement, drawing on psychological theories and empirical studies. We propose extending this exploration into telematic music, investigating the potential for creating an emotional AI collaborator. The study aims to compile a dataset for machine learning by converting physiological re-sponses, self-reported emotions, and musical passages. That data will allow for the generation of symbolic music from AI. The relationship between affect (emotional experience) and musical engagement is explored across psychology, neuroscience, and musicology, offering insights into how music evokes emotions and engages individuals cognitively. This exploration involves a social-psychological inquiry into human perceptions and feelings towards musical engagement and a deeper investigation into the physiological and neuroscientific responses when exposed to musical stimuli. The project aims to create a new MIDI dataset with real-time emotional data captured from L20rk Tweeter, a telematic musicking software platform, and integrate it into the symbolic music generation process. This involves the development of a module for real-time emotion classification and incorporation into the symbolic music generation pipeline. Integrating AI, machine learning, and human feedback is proposed to deepen understanding and enable continuous measurement of training data, thereby advancing music information retrieval knowledge and enhancing emotional expression, collaboration, and engage-ment in musical performance.","1946-0759","979-8-3503-7488-9","10.1109/ICMLA61862.2024.00076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10903377","Affect;Machine Learning;AI;Symbolic Music Generation;Music Information Retrieval","Music;Collaboration;Psychology;Machine learning;Telematics;Real-time systems;Software;Physiology;Music information retrieval;Creativity","","","","40","IEEE","4 Mar 2025","18-20 Dec. 2024","18-20 Dec. 2024","IEEE","IEEE Conferences"
"Towards Explainable Music Emotion Recognition for Guitar Improvisations","M. Rossi; D. Stefani; J. Pauwels; G. Iacca; L. Turchet","Department of Information Engineering and Computer Science, University of Trento, Trento, Italy; Department of Information Engineering and Computer Science, University of Trento, Trento, Italy; Queen Mary University of London, UK; Department of Information Engineering and Computer Science, University of Trento, Trento, Italy; Department of Information Engineering and Computer Science, University of Trento, Trento, Italy",2025 IEEE 6th International Symposium on the Internet of Sounds (IS2),"16 Dec 2025","2025","","","1","5","Explainability has gained significant attention across various domains, yet it remains relatively underexplored in the field of music, particularly in Music Emotion Recognition. This paper presents XMERApp; a web application designed to provide interpretability for a deep learning model that classifies classical and acoustic guitar into four emotional states. Our system employs a deep learning architecture trained on improvised musical performances to classify emotions, while providing comprehensive explainability through multiple complementary approaches. The application offers users three levels of interpretability: (1) detailed breakdowns of prediction probabilities across different emotion categories, enabling users to understand the confidence and uncertainty in model predictions; (2) temporal visualization of emotion evolution throughout the improvisation, revealing how the model’s understanding of emotional content develops over time; and (3) LIME-based explanations that highlight specific spectrogram regions most influential to the model’s decisions within focused time windows. Additionally, users can listen to the specific spectrogram regions identified as critical for the emotion classification, gaining insights into which parts of the performance and frequency ranges contributed the most to the model’s output. The web-based nature of XMERApp enables deployment across many devices, including smart musical instruments, enhancing the interpretability of intelligent features embedded within them.","","979-8-3315-7294-5","10.1109/IS264627.2025.11284553","European Innovation Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11284553","Explainable Artificial Intelligence;Music Information Retrieval;Emotion Recognition","Performance evaluation;Deep learning;Emotion recognition;Visualization;Uncertainty;Electric breakdown;Predictive models;Internet;Music information retrieval;Spectrogram","","","","17","IEEE","16 Dec 2025","29-31 Oct. 2025","29-31 Oct. 2025","IEEE","IEEE Conferences"
"Design and Development of Music Intelligent Education System Based on Artificial Intelligence","B. Xu","Wuhan Business University, Wuhan, Hubei, China",2024 Third International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),"12 Jun 2024","2024","","","1","6","In traditional teaching, students may find it difficult to receive timely and personalized feedback, and some students may lose interest in music learning due to the monotony of traditional learning methods. This article aimed to design a music intelligent education system based on artificial intelligence (AI), providing rich learning content and personalized guidance to enhance students' interest in learning. The artificial intelligence based music intelligent education system designed in this article was divided into basic information management module, student music task management module, personalized recommendation module, interactive community module, and artificial intelligence algorithm module. It can monitor student performance, provide personalized feedback and guidance, help students improve, and provide a richer and more interesting learning experience. The experimental results of this article showed that under traditional music education, only 21 students were very interested in music, while under the music intelligent education system, there were 120 students who were very interested in music. The music intelligent education system based on artificial intelligence can not only compensate for the shortcomings of traditional music education, but also provide students with more personalized, efficient, and interesting learning experiences.","","979-8-3503-1860-9","10.1109/ICDCECE60827.2024.10548114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548114","artificial intelligence;music intelligent education system;personalized recommendation;interactive community;collaborative filtering","Learning systems;Education;Music;Learning (artificial intelligence);Market research;Planning;Artificial intelligence","","8","","15","IEEE","12 Jun 2024","26-27 April 2024","26-27 April 2024","IEEE","IEEE Conferences"
"Impact of Music on Brain and Mental Health: Classification using Machine Learning Algorithms","S. Sharanya; P. K. M K","Department of MCA, NMAM Institute Of Technology Nitte(Deemed to be University), Nitte, India; Department of MCA, NMAM Institute Of Technology Nitte(Deemed to be University), Nitte, India",2025 Third International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),"24 Jun 2025","2025","","","1507","1512","Music creates powerful effects on human psychological conditions while it affects brain cognitive performance and brain functioning patterns. This research investigates the connection between different music choices and ways people listen to music together with depression and anxiety and insomnia conditions. The research uses data from a music and mental health survey to execute extensive exploratory data analysis (EDA) which reveals patterns and relationships. A set of preprocessing methods proves essential for maintaining data excellence before analysis through removal of outliers and treatment of missing values. Multiple visual representations show how people use music along with showing how their preferences align with mental health indicators. An analysis using machine learning algorithms helps identify mental health conditions through examining user listening behavior. Predictive models are developed by investigating three important features involving genres of choice together with how long listeners spend listening and musical impact on emotions. The research investigates both mental state transformations through music and determines if future listening habits reveal indications of psychological problems. The research enhances understanding of music-based mental health research while promoting the creation of specific music therapy practices.","","979-8-3315-0724-4","10.1109/ICAISS61471.2025.11042102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11042102","Music therapy;physiological signals;Random Forest;Neural Network (MLP);support vector machines (SVM);supervised learning;Decision Tree;feature extraction;machine learning classification;emotion recognition;music-generated emotions","Support vector machines;Surveys;Visualization;Machine learning algorithms;Supervised learning;Music;Medical treatment;Mental health;Multiple signal classification;Random forests","","","","13","IEEE","24 Jun 2025","21-23 May 2025","21-23 May 2025","IEEE","IEEE Conferences"
